Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
QUAL3;3.24;-4533.03;0.67;0.497;0.0244;0.201;7.86;1.94;-0.5;4.82;2.48;0.2565;0.0042;1.09;0.1395;-0.0001;16419700;1379470000;1.63;-0.0075
MEGA3;11.27;-990.01;1.42;2.718;0;0.409;-5.54;11.79;-0.69;25.75;14.96;0.2306;-0.0016;0.61;0.0366;-0.0014;8446820;4954980000;1.83;10.074
TELB3;17.51;-427.16;0.9;3.875;0;0.373;1.13;-4.91;-1.98;-1.46;-7.26;-0.789;-0.0091;5.7;-0.1109;-0.0021;56808.2;1676680000;0.08;0.7655
TELB4;13.79;-336.41;0.71;3.052;0;0.294;0.89;-3.87;-1.56;-0.42;-2.08;-0.789;-0.0091;5.7;-0.1109;-0.0021;103916;1676680000;0.08;0.7655
LWSA3;6.87;-214.24;1.4;3.344;0.0076;0.927;6.92;60.65;12.47;46.03;17.31;0.0551;-0.0156;1.48;0.0203;-0.0066;48548100;2913770000;0.03;0.4367
CBAV3;4.69;-128.43;0.54;0.359;0.0939;0.205;0.95;47.14;-0.99;91.28;8.64;0.0076;0.0077;2.2;0.0053;-0.0042;28820700;5176110000;0.77;-0.1667
BAUH4;71.88;-98.21;3.91;1.788;0.0168;2.32;30.71;48.42;52.35;46.12;27.57;0.0369;-0.0182;1.2;0.076;-0.0398;9518.77;96015000;0.1;0.0327
CLSA3;5.2;-84.57;1.34;1.836;0;1.091;2.11;-20.35;2.21;-12.03;-64.65;-0.0902;-0.0217;4.15;-0.1151;-0.0159;2445510;727345000;0.06;0.1187
MYPK3;15.02;-80.34;0.61;0.142;0.0333;0.161;1;3.5;-0.84;9.18;5.3;0.0405;0.0048;1.45;0.0673;-0.0076;20542200;3786150000;1.64;0.1714
MNPR3;15.5;-70.95;-0.34;0.287;0;0.341;-0.29;1.67;-0.24;1.67;1.46;0.1719;-0.004;0.33;0.2157;0.0047;114198;-327213000;0;0.1669
MRVE3;12.05;-68.45;1.13;0.984;0.0141;0.29;1.2;93.93;-1.23;198.22;60.25;0.0105;-0.0087;2.06;0.0033;-0.0164;122157000;6018990000;1.35;0.0428
DOHL3;8.2;-66.04;0.89;0.946;0;0.644;1.39;-34.8;2.43;-36.14;683.2;-0.0272;-0.0143;7.03;-0.021;-0.0134;220.77;699104000;0.15;0.1004
